START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
  1.0001706150483585E+00  1.5216597042390376E+00  8.9565781970606054E-03
 -1.0001706150483585E+00 -1.5216597042390376E+00 -8.9565781970606054E-03
  4.9850634992089465E-01 -1.5146516470261833E+00  8.8327143640161121E-01
 -4.9850634992089465E-01  1.5146516470261833E+00 -8.8327143640161121E-01
 -5.0042415028661069E-01 -1.5154985930528750E+00  8.8337738836814883E-01
  5.0042415028661069E-01  1.5154985930528750E+00 -8.8337738836814883E-01
  4.9794392060490422E-01 -1.5261269233718162E+00 -9.0150244869534513E-01
 -4.9794392060490422E-01  1.5261269233718162E+00  9.0150244869534513E-01
  5.0098657960260107E-01  1.5269738693985080E+00  9.0139649672880751E-01
 -5.0098657960260107E-01 -1.5269738693985080E+00 -9.0139649672880751E-01
  1.4905770237267344E-04 -4.9546230972514888E-01  1.7817530417090903E+00
 -1.4905770237267344E-04  4.9546230972514888E-01 -1.7817530417090903E+00
  4.9890282078776221E-01 -1.1051803332287015E-02 -1.7848268610802251E+00
 -4.9890282078776221E-01  1.1051803332287015E-02  1.7848268610802251E+00
 -5.0002767941974302E-01 -1.1898749358979005E-02 -1.7847209091136875E+00
  5.0002767941974302E-01  1.1898749358979005E-02  1.7847209091136875E+00
  1.4977096144130200E+00 -1.0097359340151175E+00  4.3999285654870057E-01
 -1.4977096144130200E+00  1.0097359340151175E+00 -4.3999285654870057E-01
 -9.7580092960814196E-04 -5.1841286241641493E-01 -1.7877947284848223E+00
  9.7580092960814196E-04  5.1841286241641493E-01  1.7877947284848223E+00
 -1.4990818862094959E+00 -1.0122767720951933E+00  4.4031071244831332E-01
  1.4990818862094959E+00  1.0122767720951933E+00 -4.4031071244831332E-01
  1.4974283997550248E+00 -1.0154735721879342E+00 -4.5239408599977760E-01
 -1.4974283997550248E+00  1.0154735721879342E+00  4.5239408599977760E-01
  9.9783099269564968E-01 -1.5170969930992453E+00  4.3702498914410332E-01
 -9.9783099269564968E-01  1.5170969930992453E+00 -4.3702498914410332E-01
 -1.4993631008674910E+00 -1.0180144102680100E+00 -4.5207623010016484E-01
  1.4993631008674910E+00  1.0180144102680100E+00  4.5207623010016484E-01
 -1.0000300077193609E+00 -1.5187908851526293E+00  4.3723689307717845E-01
  1.0000300077193609E+00  1.5187908851526293E+00 -4.3723689307717845E-01
  9.9754977803765443E-01 -1.5228346312720620E+00 -4.5536195340437485E-01
 -9.9754977803765443E-01  1.5228346312720620E+00  4.5536195340437485E-01
 -1.0003112223773560E+00 -1.5245285233254460E+00 -4.5515004947129972E-01
  1.0003112223773560E+00  1.5245285233254460E+00  4.5515004947129972E-01
